region,Skattesats till kommun 2000,Skattesats till kommun 2001,Skattesats till kommun 2002,Skattesats till kommun 2003,Skattesats till kommun 2004,Skattesats till kommun 2005,Skattesats till kommun 2006,Skattesats till kommun 2007,Skattesats till kommun 2008,Skattesats till kommun 2009,Skattesats till kommun 2010,Skattesats till kommun 2011,Skattesats till kommun 2012,Skattesats till kommun 2013,Skattesats till kommun 2014,Skattesats till kommun 2015,Skattesats till kommun 2016,Skattesats till kommun 2017,Skattesats till kommun 2018
2303 Ragunda,23.57,23.57,23.57,23.57,23.57,23.57,23.57,23.57,23.57,23.57,23.57,23.57,23.57,23.57,23.57,23.22,23.22,23.22,23.22
2417 Norsjö,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.35,23.35,23.35,23.4,23.4,23.4
2283 Sollefteå,23.09,23.09,23.09,23.09,23.09,23.09,23.09,23.09,23.09,23.09,23.09,23.09,23.09,23.09,23.39,23.39,23.39,23.39,23.39
2313 Strömsund,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.07,22.72,22.72,23.22,23.22
2280 Härnösand,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.34,23.34,23.34,23.34,23.34
1447 Gullspång,22.97,22.92,22.92,22.92,22.92,22.92,22.92,22.92,22.92,22.92,22.92,22.92,22.49,22.49,22.49,22.49,22.49,22.49,22.49
2403 Bjurholm,22.4,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,23.1,23.1,23.1,23.15,23.15,23.15
2422 Sorsele,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,23.1,23.1,23.1,23.15,23.15,23.15
2425 Dorotea,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,23.9,23.9,23.9,23.95,23.85,23.85
2460 Vännäs,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,23.1,23.1,23.6,23.65,23.65,23.65
2462 Vilhelmina,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,23.2,23.2,23.2,23.4,23.4,23.4,23.45,23.45,23.45
2463 Åsele,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,23.1,23.1,23.1,23.15,23.15,23.15
2326 Berg,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.52,22.52,22.52,22.52
2481 Lycksele,22.35,22.35,22.85,22.85,22.85,22.85,22.85,22.85,22.85,22.85,22.85,22.85,22.85,23.05,23.05,23.05,23.1,23.1,23.1
2282 Kramfors,22.84,22.84,22.84,22.84,22.84,22.84,22.84,22.84,22.84,22.84,22.84,22.84,22.84,22.84,23.14,23.14,23.14,23.14,23.14
2361 Härjedalen,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.47,22.47,22.47,22.47
1462 Lilla Edet,22.18,22.18,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.37,22.37,22.37,22.37,22.37,22.37,22.37
1781 Kristinehamn,22.8,22.8,22.8,22.75,22.7,22.65,22.6,22.55,22.5,22.45,22.45,22.45,22.45,22.45,22.45,22.45,22.45,22.45,22.45
1438 Dals-Ed,22.29,22.29,22.79,22.79,23.79,23.79,23.79,23.79,23.64,23.64,23.64,23.64,23.21,23.21,23.21,23.21,23.21,23.21,23.21
2260 Ånge,22.79,22.79,22.79,22.79,22.79,23.03,23.03,23.03,23.03,23.03,23.03,23.03,23.03,23.03,23.33,23.33,23.33,23.33,23.33
1430 Munkedal,22.76,22.76,22.76,22.76,22.76,22.76,22.76,22.76,22.76,22.76,22.76,22.76,22.33,22.83,22.83,22.68,23.63,23.63,23.63
2401 Nordmaling,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,23.05,23.05,23.05,23.25,23.25,23.25,23.3,23.3,23.3
2418 Malå,22.65,22.65,22.65,22.65,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.35,23.35,23.35,23.4,23.4,23.4
2584 Kiruna,22.63,22.63,22.63,23.13,23.13,23.03,22.83,22.83,22.83,22.83,22.83,22.83,22.83,23.05,23.05,23.05,23.05,23.05,23.05
2480 Umeå,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.8,22.8,22.8,22.85,22.85,22.85
1982 Fagersta,22.69,22.69,22.59,22.49,22.39,22.29,22.19,22.19,22.09,21.99,21.99,21.99,22.11,22.11,22.11,22.11,22.11,22.11,22.11
2513 Överkalix,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.58,22.8,22.8,22.8,22.8,22.8,22.8
2305 Bräcke,22.57,22.57,22.57,22.57,22.57,22.57,22.57,22.57,23.32,23.32,23.32,23.32,23.32,23.32,23.74,23.39,23.39,23.39,23.39
2321 Åre,22.57,22.57,22.57,22.57,22.57,22.57,22.57,22.57,22.57,22.57,22.57,22.57,22.57,22.57,22.57,22.22,22.22,22.22,22.22
1962 Norberg,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.66,22.66,22.66,22.66,22.66,22.66,22.66
2309 Krokom,22.52,22.52,22.52,22.52,22.52,22.52,22.52,22.52,22.52,22.52,22.52,22.52,22.52,22.52,22.52,22.17,22.17,22.17,22.17
1737 Torsby,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
1762 Munkfors,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
1461 Mellerud,21.99,21.99,22.49,22.49,22.49,22.89,22.69,22.69,22.69,22.69,22.69,22.69,22.6,22.6,22.6,22.6,22.6,22.6,22.6
1484 Lysekil,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.06,22.06,22.46,22.46,22.46,22.46,22.46
1763 Forshaga,22.4,22.4,22.4,22.4,22.4,22.35,22.35,22.35,22.35,22.35,22.35,22.35,22.35,22.35,22.35,22.35,22.35,22.35,22.35
1764 Grums,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.5,22.5,22.5,22.5,22.5,22.5
2161 Ljusdal,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.14,22.36,22.36,22.36,22.36,22.36,22.36
2404 Vindeln,22.4,22.4,22.4,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,23.1,23.1,23.1,23.65,23.65,23.65
2409 Robertsfors,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.9,23.1,23.1,23.1,23.15,23.15,23.15
2421 Storuman,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.9,22.9,22.9,22.9,22.9,23.1,23.1,23.1,23.15,23.15,23.15
2482 Skellefteå,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.6,22.6,22.6,22.65,22.65,22.65
2380 Östersund,22.07,22.07,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.02,22.02,22.02,22.02
2262 Timrå,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.64,22.64,22.64,22.64,22.64
2514 Kalix,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.55,22.55,22.55,22.55,22.55,22.55
2523 Gällivare,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.55,22.55,22.55,22.55,22.55,22.55
2084 Avesta,21.81,22.31,22.31,22.31,22.31,22.31,22.21,22.21,22.21,22.21,22.21,22.21,22.21,22.44,22.44,22.44,22.44,22.44,21.97
2085 Ludvika,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.54,22.54,22.54,22.54,22.54,22.07
1783 Hagfors,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2281 Sundsvall,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.59,22.59,22.59,22.59,22.59
2506 Arjeplog,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,23.28,23.5,23.5,23.5,23.5,23.5,23.5
1760 Storfors,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2560 Älvsbyn,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.45,22.45,22.45,22.45,22.45,22.45
2082 Säter,21.56,21.56,22.21,22.56,22.56,22.56,22.56,22.56,22.56,22.56,22.56,22.56,22.56,22.79,22.79,22.79,22.79,22.79,22.32
1492 Åmål,22.19,22.19,22.19,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.89,22.46,22.46,22.46,22.46,22.46,22.46,22.46
1907 Surahammar,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.31,22.31,22.31,22.31,22.31,22.31,22.31
1981 Sala,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.31,22.31,22.31,22.31,22.31,22.31,22.31
2021 Vansbro,22.16,22.16,22.16,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.77,22.77,22.77,22.77,22.77,22.3
2061 Smedjebacken,22.16,22.16,22.16,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.93,22.93,22.93,22.93,22.93,22.46
2081 Borlänge,22.16,22.16,22.16,22.66,22.66,22.66,22.66,22.66,22.66,22.66,22.66,22.66,22.66,22.89,22.89,22.89,22.89,22.89,22.42
2026 Gagnef,22.21,22.21,22.15,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.72,22.72,22.72,22.72,23.01,22.54
1485 Uddevalla,22.14,22.14,22.14,22.14,22.44,22.44,22.44,22.29,22.19,22.09,22.09,22.09,21.66,21.66,21.91,22.16,22.16,22.16,22.16
1487 Vänersborg,22.14,22.14,22.14,22.14,22.14,22.64,22.64,22.64,22.64,22.64,22.64,22.64,22.21,22.21,22.21,22.21,22.21,22.21,22.21
2582 Boden,21.63,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.35,22.6,22.6,22.6,22.6,22.6
1761 Hammarö,22.1,22.1,22.1,22.1,22.4,22.4,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
2101 Ockelbo,21.91,21.91,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.8,22.8,22.8,22.54,22.76,22.76,22.76,22.76,22.76,22.76
2521 Pajala,22.08,22.08,22.08,22.08,22.48,22.48,22.48,22.48,22.48,22.48,22.48,22.48,22.48,22.7,22.7,23.5,23.5,23.5,23.5
2031 Rättvik,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.29,22.29,22.29,22.29,22.29,21.82
2034 Orsa,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.36,22.36,22.66,22.66,22.66,22.66,22.89,22.89,22.89,22.89,22.89,22.42
1983 Köping,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.16,22.16,22.16,22.16,22.16,22.16,22.16
2581 Piteå,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.25,22.25,22.25,22.25,22.25,22.25
1440 Ale,22,22,22,22,22,22,22,22,22,22.3,22.3,22.3,21.87,21.87,21.87,21.87,21.87,21.87,21.87
1715 Kil,22,22,22,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.35,22.35,22.35,22.35,22.35,22.35
1460 Bengtsfors,21.99,21.99,21.99,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.79,22.79,22.42,22.42,22.42,22.92,22.92,22.92,22.92
2104 Hofors,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,22.65,22.65,22.65,22.89,23.01,22.86,22.86,22.86,22.86,22.86
2121 Ovanåker,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.64,21.86,21.86,21.86,21.86,21.86,21.86
2132 Nordanstig,21.9,21.9,21.9,21.9,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.14,22.61,22.61,22.51,22.51,22.51,22.51
2510 Jokkmokk,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,22.23,22.23,22.23,22.95,22.95,22.95,22.95,22.95,22.95
1960 Kungsör,21.59,21.84,21.84,21.84,21.91,21.91,21.91,21.91,21.91,21.91,21.91,21.91,22.03,22.03,22.03,22.03,22.03,22.03,22.03
2062 Mora,21.83,21.83,21.83,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.58,22.58,22.81,22.81,22.81,22.81,22.81,22.34
2023 Malung-Sälen,21.31,21.31,21.81,21.81,21.81,21.81,21.81,21.81,21.81,21.81,22.31,22.31,22.31,22.54,22.54,22.54,23.04,23.04,22.57
2039 Älvdalen,21.81,21.81,21.81,21.81,21.81,21.81,21.81,21.81,22.56,22.56,22.56,22.56,22.56,22.79,22.79,22.79,22.79,22.79,22.79
1766 Sunne,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,22.15,22.15,22.15,22.15,22.15,22.15
1489 Alingsås,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.36,21.36,21.36,21.36,21.36,21.36,21.36
2284 Örnsköldsvik,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,22.14,22.44,22.44,22.44,22.44,22.44
2580 Luleå,21.78,21.78,21.78,21.78,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.5,22.5,22.5,22.5,22.5,22.5
